"id","name","party","rank","title","committee"
"C001051","John R. Carter","majority",8,"Member","HSAP"
"C000059","Ken Calvert","majority",9,"Member","HSAP"
"C001053","Tom Cole","majority",10,"Member","HSAP"
"D000600","Mario Diaz-Balart","majority",11,"Member","HSAP"
"D000604","Charles W. Dent","majority",12,"Member","HSAP"
"G000560","Tom Graves","majority",13,"Member","HSAP"
"Y000063","Kevin Yoder","majority",14,"Member","HSAP"
"W000809","Steve Womack","majority",15,"Member","HSAP"
"F000449","Jeff Fortenberry","majority",16,"Member","HSAP"
"R000583","Thomas J. Rooney","majority",17,"Member","HSAP"
"F000459","Charles J. ""Chuck"" Fleischmann","majority",18,"Member","HSAP"
"H001056","Jaime Herrera Beutler","majority",19,"Member","HSAP"
"J000295","David P. Joyce","majority",20,"Member","HSAP"
"V000129","David G. Valadao","majority",21,"Member","HSAP"
"H001052","Andy Harris","majority",22,"Member","HSAP"
"R000591","Martha Roby","majority",23,"Member","HSAP"
"A000369","Mark E. Amodei","majority",24,"Member","HSAP"
"S001192","Chris Stewart","majority",25,"Member","HSAP"
"R000589","E. Scott Rigell","majority",26,"Member","HSAP"
"J000296","David W. Jolly","majority",27,"Member","HSAP"
"Y000066","David Young","majority",28,"Member","HSAP"
"J000297","Evan H. Jenkins","majority",29,"Member","HSAP"
"P000601","Steven M. Palazzo","majority",30,"Member","HSAP"
"L000480","Nita M. Lowey","minority",1,"Ranking Member","HSAP"
"K000009","Marcy Kaptur","minority",2,"Member","HSAP"
"V000108","Peter J. Visclosky","minority",3,"Member","HSAP"
"S000248","José E. Serrano","minority",4,"Member","HSAP"
"D000216","Rosa L. DeLauro","minority",5,"Member","HSAP"
"P000523","David E. Price","minority",6,"Member","HSAP"
"R000486","Lucille Roybal-Allard","minority",7,"Member","HSAP"
"F000030","Sam Farr","minority",8,"Member","HSAP"
"F000043","Chaka Fattah","minority",9,"Member","HSAP"
"B000490","Sanford D. Bishop Jr.","minority",10,"Member","HSAP"
